track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster,song_match
Firework,Katy Perry,4lCv7b86sLynZbXhfScfm2,0.638,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.649,124.072,audio_features,4lCv7b86sLynZbXhfScfm2,spotify:track:4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/tracks/4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/audio-analysis/4lCv7b86sLynZbXhfScfm2,227880,4,1,firework
All We Are,OneRepublic,1Jx69b09LKTuBQxkEiFfVX,0.397,0.817,2,-5.495,1,0.042,0.0966,8.16e-06,0.316,0.416,158.004,audio_features,1Jx69b09LKTuBQxkEiFfVX,spotify:track:1Jx69b09LKTuBQxkEiFfVX,https://api.spotify.com/v1/tracks/1Jx69b09LKTuBQxkEiFfVX,https://api.spotify.com/v1/audio-analysis/1Jx69b09LKTuBQxkEiFfVX,266227,4,10,allweare
Wake Up Alone,Amy Winehouse,4u83mwF5tUuWlXS86UOXdu,0.384,0.527,11,-5.294,0,0.0269,0.542,0.0,0.156,0.222,100.73,audio_features,4u83mwF5tUuWlXS86UOXdu,spotify:track:4u83mwF5tUuWlXS86UOXdu,https://api.spotify.com/v1/tracks/4u83mwF5tUuWlXS86UOXdu,https://api.spotify.com/v1/audio-analysis/4u83mwF5tUuWlXS86UOXdu,221200,3,0,wakeupalone
The Man Who Can't Be Moved,The Script,4Musyaro0NM5Awx8b5c627,0.608,0.629,10,-5.024,1,0.0264,0.423,0.0,0.0978,0.325,99.953,audio_features,4Musyaro0NM5Awx8b5c627,spotify:track:4Musyaro0NM5Awx8b5c627,https://api.spotify.com/v1/tracks/4Musyaro0NM5Awx8b5c627,https://api.spotify.com/v1/audio-analysis/4Musyaro0NM5Awx8b5c627,241467,4,16,themanwhocan'tbemoved
Rolling in the Deep,Adele,1CkvWZme3pRgbzaxZnTl5X,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,audio_features,1CkvWZme3pRgbzaxZnTl5X,spotify:track:1CkvWZme3pRgbzaxZnTl5X,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,228293,4,1,rollinginthedeep
Grenade,Bruno Mars,4lLtanYk6tkMvooU0tWzG8,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,audio_features,4lLtanYk6tkMvooU0tWzG8,spotify:track:4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/tracks/4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/audio-analysis/4lLtanYk6tkMvooU0tWzG8,222091,4,5,grenade
Poker Face,Lady Gaga,3OT3Kg4jyVkdZm4Ncz6JgX,0.848,0.828,8,-4.557,0,0.0714,0.136,1.35e-06,0.114,0.794,119.0,audio_features,3OT3Kg4jyVkdZm4Ncz6JgX,spotify:track:3OT3Kg4jyVkdZm4Ncz6JgX,https://api.spotify.com/v1/tracks/3OT3Kg4jyVkdZm4Ncz6JgX,https://api.spotify.com/v1/audio-analysis/3OT3Kg4jyVkdZm4Ncz6JgX,237213,4,9,pokerface
the lonely,Christina Perri,21JTgoZLDB2F4Fx0uRCmTL,0.237,0.269,7,-9.61,0,0.0298,0.573,0.000283,0.101,0.0681,81.256,audio_features,21JTgoZLDB2F4Fx0uRCmTL,spotify:track:21JTgoZLDB2F4Fx0uRCmTL,https://api.spotify.com/v1/tracks/21JTgoZLDB2F4Fx0uRCmTL,https://api.spotify.com/v1/audio-analysis/21JTgoZLDB2F4Fx0uRCmTL,233480,4,3,thelonely
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4,10,yellow
Gravity,Sara Bareilles,4oa14QBfWRDfJy2agySy0L,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,audio_features,4oa14QBfWRDfJy2agySy0L,spotify:track:4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/tracks/4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/audio-analysis/4oa14QBfWRDfJy2agySy0L,232760,4,3,gravity
Mr. Know It All,Kelly Clarkson,7CHIJREUYyM7vndBQE6iMy,0.676,0.807,5,-5.131,1,0.029,0.0284,0.0,0.0701,0.443,95.956,audio_features,7CHIJREUYyM7vndBQE6iMy,spotify:track:7CHIJREUYyM7vndBQE6iMy,https://api.spotify.com/v1/tracks/7CHIJREUYyM7vndBQE6iMy,https://api.spotify.com/v1/audio-analysis/7CHIJREUYyM7vndBQE6iMy,232520,4,16,mr.knowitall
In Your Light,Gotye,6l8AiDMKX10Nu2IZJcPb4i,0.605,0.936,0,-4.025,1,0.0383,0.00112,8.57e-06,0.194,0.764,101.91,audio_features,6l8AiDMKX10Nu2IZJcPb4i,spotify:track:6l8AiDMKX10Nu2IZJcPb4i,https://api.spotify.com/v1/tracks/6l8AiDMKX10Nu2IZJcPb4i,https://api.spotify.com/v1/audio-analysis/6l8AiDMKX10Nu2IZJcPb4i,279013,4,11,inyourlight
Call The Police,James Morrison,1y9U1pdI3naKK7sArioECH,0.473,0.871,8,-4.732,1,0.0668,0.178,0.0,0.0584,0.578,156.0,audio_features,1y9U1pdI3naKK7sArioECH,spotify:track:1y9U1pdI3naKK7sArioECH,https://api.spotify.com/v1/tracks/1y9U1pdI3naKK7sArioECH,https://api.spotify.com/v1/audio-analysis/1y9U1pdI3naKK7sArioECH,224640,4,10,callthepolice
So What,P!nk,7bprRkhvOXWmWpqOrEWbXu,0.531,0.864,11,-2.978,1,0.0433,0.000105,2.05e-06,0.346,0.402,126.02,audio_features,7bprRkhvOXWmWpqOrEWbXu,spotify:track:7bprRkhvOXWmWpqOrEWbXu,https://api.spotify.com/v1/tracks/7bprRkhvOXWmWpqOrEWbXu,https://api.spotify.com/v1/audio-analysis/7bprRkhvOXWmWpqOrEWbXu,214520,4,16,sowhat
I Love You,Alex Clare,2eaBBVEfoRK4MJYmIAeNw8,0.643,0.502,11,-6.558,1,0.0392,0.07,0.0344,0.149,0.2,130.018,audio_features,2eaBBVEfoRK4MJYmIAeNw8,spotify:track:2eaBBVEfoRK4MJYmIAeNw8,https://api.spotify.com/v1/tracks/2eaBBVEfoRK4MJYmIAeNw8,https://api.spotify.com/v1/audio-analysis/2eaBBVEfoRK4MJYmIAeNw8,279960,4,16,iloveyou
Off To The Races,Lana Del Rey,5IyblF777jLZj1vGHG2UD3,0.399,0.721,4,-5.562,0,0.0523,0.0621,0.00282,0.278,0.113,160.125,audio_features,5IyblF777jLZj1vGHG2UD3,spotify:track:5IyblF777jLZj1vGHG2UD3,https://api.spotify.com/v1/tracks/5IyblF777jLZj1vGHG2UD3,https://api.spotify.com/v1/audio-analysis/5IyblF777jLZj1vGHG2UD3,299934,4,5,offtotheraces
If I Ain't Got You,Alicia Keys,3XVBdLihbNbxUwZosxcGuJ,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,audio_features,3XVBdLihbNbxUwZosxcGuJ,spotify:track:3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,228707,3,0,ifiain'tgotyou
93 Million Miles,Jason Mraz,38jy6kRlPt8z1GUS9WXeNh,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,audio_features,38jy6kRlPt8z1GUS9WXeNh,spotify:track:38jy6kRlPt8z1GUS9WXeNh,https://api.spotify.com/v1/tracks/38jy6kRlPt8z1GUS9WXeNh,https://api.spotify.com/v1/audio-analysis/38jy6kRlPt8z1GUS9WXeNh,216387,4,15,93millionmiles
Breathless,Corinne Bailey Rae,3YPchhrSmcwMHl41aToYG1,0.313,0.491,9,-7.939,1,0.0387,0.321,1.82e-06,0.0863,0.243,178.262,audio_features,3YPchhrSmcwMHl41aToYG1,spotify:track:3YPchhrSmcwMHl41aToYG1,https://api.spotify.com/v1/tracks/3YPchhrSmcwMHl41aToYG1,https://api.spotify.com/v1/audio-analysis/3YPchhrSmcwMHl41aToYG1,255387,3,0,breathless
Rumour Has It,Adele,76N7FdzCI9OsiUnzJVLY2m,0.618,0.753,7,-5.05,0,0.0451,0.637,0.0,0.0905,0.557,120.041,audio_features,76N7FdzCI9OsiUnzJVLY2m,spotify:track:76N7FdzCI9OsiUnzJVLY2m,https://api.spotify.com/v1/tracks/76N7FdzCI9OsiUnzJVLY2m,https://api.spotify.com/v1/audio-analysis/76N7FdzCI9OsiUnzJVLY2m,221427,4,5,rumourhasit
