song,artist
The Twist,Chubby Checker
Smooth,Santana
MacK the Knife,Bobby Darin
Leann Rimes,How Do I Live
Party Rock Anthem,LMFAO
Black Eyed Peas,I Gotta Feeling
Macarena (Bayside Boys Mix),Los Del Rio
Shape of You,Ed Sheeran
Debby Boone,You Light Up My Life
Hey Jude,The Beatles
Closer,The Chainsmokers Ft. Hasley
We Belong Together,Mariah Carey
Old Town Road (Remix),Lil Nas X Ft. Billy Ray Cyrus
Toni Braxton,Un-Break My Heart
Usher,Yeah! (Featuring Lil Jon and Ludacris)
Bette Davis Eyes,Kim Carnes
Girls Like You,"Maroon 5, Cardi B"
Endless Love,Diana Ross and Lionel Richie
Rod Stewart,Tonight's the Night
Foolish Games,Jewel
Circles,Post Malone
(Everything I Do) I Do It for You,Bryan Adams
I'll Make Love to You,Boyz II Men
Percy Faith,"Theme From ""A Summer Place"""
"""Le Freak""",Chic
How Deep Is Your Love,Bee Gees
Eye of the Tiger,Survivor
We Found Love,Rihanna Ft Calvin Harris
Flo Rida Ft. T-Pain,Low
I Just Want to Be Your Everything,Andy Gibb
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee
Every Breath You Take,The Police
Somebody That I Used to Know,Gotye Ft Kimbra
Luis Fonsi Ft. Daddy Yankee and Justin Bieber,Despacito (Remix)
Flashdance...What a Feeling,Irene Cara
Rolling in the Deep,Adele
Bobby Lewis,Tossin' and Turnin'
The Twist,Chubby Checker
Smooth,Santana
MacK the Knife,Bobby Darin
Leann Rimes,How Do I Live
Party Rock Anthem,LMFAO
Black Eyed Peas,I Gotta Feeling
Macarena (Bayside Boys Mix),Los Del Rio
Shape of You,Ed Sheeran
Debby Boone,You Light Up My Life
Hey Jude,The Beatles
Closer,The Chainsmokers Ft. Hasley
We Belong Together,Mariah Carey
Old Town Road (Remix),Lil Nas X Ft. Billy Ray Cyrus
Toni Braxton,Un-Break My Heart
Usher,Yeah! (Featuring Lil Jon and Ludacris)
Bette Davis Eyes,Kim Carnes
Girls Like You,"Maroon 5, Cardi B"
Endless Love,Diana Ross and Lionel Richie
Rod Stewart,Tonight's the Night
Foolish Games,Jewel
Circles,Post Malone
(Everything I Do) I Do It for You,Bryan Adams
I'll Make Love to You,Boyz II Men
Percy Faith,"Theme From ""A Summer Place"""
"""Le Freak""",Chic
How Deep Is Your Love,Bee Gees
Eye of the Tiger,Survivor
We Found Love,Rihanna Ft Calvin Harris
Flo Rida Ft. T-Pain,Low
I Just Want to Be Your Everything,Andy Gibb
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee
Every Breath You Take,The Police
Somebody That I Used to Know,Gotye Ft Kimbra
Luis Fonsi Ft. Daddy Yankee and Justin Bieber,Despacito (Remix)
Flashdance...What a Feeling,Irene Cara
Rolling in the Deep,Adele
Bobby Lewis,Tossin' and Turnin'
Johnny Horton,The Battle of New Orleans
One Sweet Day,Boys II Men and Mariah Carey
Truly Madly Deeply,Savage Garden
Wings,Silly Love Songs
Let's Get It on,Marvin Gaye
Night Fever,Bee Gees
Another One Bites the Dust,Queen
"Say, Say, Say",Paul McCartney & Michael Jackson
How You Remind Me,Nickleback
Without Me,Halsey
Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn
I Want to Hold Your Hand,The Beatles
